# x	y	u	v	flags	mask
1.2170e+01	1.2160e+01	3.3677e+00	6.2352e-03	0.0000e+00	0.0000e+00
1.2380e+01	1.2160e+01	3.3771e+00	-4.8168e-02	0.0000e+00	0.0000e+00
1.2590e+01	1.2160e+01	3.3871e+00	3.6818e-03	0.0000e+00	0.0000e+00
1.2800e+01	1.2160e+01	3.3914e+00	-3.5130e-03	0.0000e+00	0.0000e+00
1.3010e+01	1.2160e+01	3.3493e+00	2.7438e-02	0.0000e+00	0.0000e+00
1.3220e+01	1.2160e+01	3.3892e+00	-2.0005e-02	0.0000e+00	0.0000e+00
1.3430e+01	1.2160e+01	3.3631e+00	-6.2232e-02	0.0000e+00	0.0000e+00
1.3640e+01	1.2160e+01	3.2492e+00	-1.5443e-01	0.0000e+00	0.0000e+00
1.3850e+01	1.2160e+01	3.2464e+00	-1.9668e-01	0.0000e+00	0.0000e+00
1.4060e+01	1.2160e+01	3.3449e+00	2.3987e-02	0.0000e+00	0.0000e+00
1.4270e+01	1.2160e+01	3.3091e+00	-3.5485e-02	0.0000e+00	0.0000e+00
1.4480e+01	1.2160e+01	3.0275e+00	-3.2831e-01	0.0000e+00	0.0000e+00
1.4690e+01	1.2160e+01	3.0024e+00	-3.4649e-01	0.0000e+00	0.0000e+00
1.4900e+01	1.2160e+01	3.0039e+00	-3.1837e-01	0.0000e+00	0.0000e+00
1.5110e+01	1.2160e+01	3.1577e+00	-1.9502e-01	0.0000e+00	0.0000e+00
1.5320e+01	1.2160e+01	3.1758e+00	-2.0420e-01	0.0000e+00	0.0000e+00
1.5530e+01	1.2160e+01	3.1400e+00	-1.9518e-01	0.0000e+00	0.0000e+00
1.5740e+01	1.2160e+01	3.1885e+00	-2.0656e-01	0.0000e+00	0.0000e+00
1.5950e+01	1.2160e+01	3.1026e+00	-1.7191e-01	0.0000e+00	0.0000e+00
2.0000e-01	1.1950e+01	2.9009e+00	4.5712e-02	0.0000e+00	0.0000e+00
4.1000e-01	1.1950e+01	2.9052e+00	3.7718e-02	0.0000e+00	0.0000e+00
6.2000e-01	1.1950e+01	2.9495e+00	5.6238e-02	0.0000e+00	0.0000e+00
8.3000e-01	1.1950e+01	2.8674e+00	1.2382e-01	0.0000e+00	0.0000e+00
1.0400e+00	1.1950e+01	2.9218e+00	7.8948e-02	0.0000e+00	0.0000e+00
1.2500e+00	1.1950e+01	2.6139e+00	2.8423e-01	1.0000e+00	0.0000e+00
1.4600e+00	1.1950e+01	2.9513e+00	3.6492e-02	0.0000e+00	0.0000e+00
1.6700e+00	1.1950e+01	2.0393e+00	6.9459e-01	1.0000e+00	0.0000e+00
1.8800e+00	1.1950e+01	1.5930e+00	3.0027e-01	1.0000e+00	0.0000e+00
2.0900e+00	1.1950e+01	1.2899e+00	-1.0339e-01	1.0000e+00	0.0000e+00
2.3000e+00	1.1950e+01	1.0925e+00	-3.3803e-01	1.0000e+00	0.0000e+00
2.5100e+00	1.1950e+01	8.7093e-01	-1.0083e+00	1.0000e+00	0.0000e+00
2.7200e+00	1.1950e+01	8.9775e-01	-1.1463e+00	1.0000e+00	0.0000e+00
2.9300e+00	1.1950e+01	1.0176e+00	-1.2516e+00	1.0000e+00	0.0000e+00
3.1400e+00	1.1950e+01	-7.7826e-02	-8.5430e+00	0.0000e+00	0.0000e+00
3.3500e+00	1.1950e+01	1.9131e+00	-1.0992e+00	1.0000e+00	0.0000e+00
3.5600e+00	1.1950e+01	2.2329e+00	-6.6486e-01	1.0000e+00	0.0000e+00
3.7700e+00	1.1950e+01	2.9440e+00	3.1163e-01	0.0000e+00	0.0000e+00
3.9800e+00	1.1950e+01	2.9575e+00	2.7891e-01	0.0000e+00	0.0000e+00
4.1900e+00	1.1950e+01	3.0235e+00	1.8984e-01	0.0000e+00	0.0000e+00
4.4000e+00	1.1950e+01	3.0302e+00	3.3897e-01	0.0000e+00	0.0000e+00
4.6100e+00	1.1950e+01	3.0042e+00	2.3603e-01	0.0000e+00	0.0000e+00
4.8200e+00	1.1950e+01	2.9404e+00	3.2022e-01	0.0000e+00	0.0000e+00
5.0300e+00	1.1950e+01	2.9571e+00	3.1715e-01	0.0000e+00	0.0000e+00
5.2400e+00	1.1950e+01	3.0521e+00	2.5934e-01	0.0000e+00	0.0000e+00
5.4500e+00	1.1950e+01	2.9677e+00	3.3927e-01	0.0000e+00	0.0000e+00
5.6600e+00	1.1950e+01	2.9290e+00	3.3204e-01	0.0000e+00	0.0000e+00
5.8700e+00	1.1950e+01	3.0277e+00	3.8323e-01	0.0000e+00	0.0000e+00
6.0800e+00	1.1950e+01	3.0801e+00	3.0351e-01	0.0000e+00	0.0000e+00
